code,name,teacher,class,weekly_hours,enrolled,department,course_type,tur,lab_hours
BLG-102,Veri Yapıları,Prof. Dr. Tuncay AYDOĞAN,1.Sınıf,3.0,,bilgisayar mühendisliği,zorunlu,Z,0.0
BLG-102-LAB,Veri Yapıları (Laboratuvar),Arş. Gör. Hüseyin Furkan ZENGİN,1.Sınıf,1.0,,bilgisayar mühendisliği,lab,L,1.0
BLG-106,Web Teknolojilerine Giriş,Dr. Öğr. Üyesi Cevriye ALTINTAŞ,1.Sınıf,3.0,50.0,seçimlik,seçimlik,S,0.0
BLG-116,Python Programlama,Doç. Dr. Sinan UĞUZ,1.Sınıf,3.0,,bilgisayar mühendisliği,zorunlu,Z,0.0
BLG-118,Temel Elektrik ve Elektronik,Dr. Öğr. Üyesi Burhan DUMAN,1.Sınıf,2.0,,bilgisayar mühendisliği,zorunlu,Z,0.0
BLG-118-LAB,Temel Elektrik ve Elektronik (Laboratuvar),Arş. Gör. Hüseyin Furkan ZENGİN,1.Sınıf,1.0,,bilgisayar mühendisliği,lab,L,1.0
BLG-120,İçerik Yönetim Sistemleri,Dr. Öğr. Üyesi Gamzepelin AKSOY,1.Sınıf,3.0,50.0,seçimlik,seçimlik,S,0.0
MTB-002,Kalkülüs II,Dr. Öğr. Üyesi Hüseyin Veli DÖNDÜREN,1.Sınıf,4.0,,bilgisayar mühendisliği,zorunlu,Z,0.0
MTB-004,Ayrık Matematik,Prof. Dr. Gözde ÖZKAN TÜKEL,1.Sınıf,3.0,,bilgisayar mühendisliği,zorunlu,Z,0.0
MTB-006,Fizik II,Dr. Öğr. Üyesi Mehmet UZUNKAVAK,1.Sınıf,3.0,,bilgisayar mühendisliği,zorunlu,Z,0.0
MTB-006-LAB,Fizik II (Laboratuvar),Arş. Gör. Hüseyin Furkan ZENGİN,1.Sınıf,2.0,,bilgisayar mühendisliği,lab,L,2.0
BLG-204,Algoritmalar,Dr. Öğr. Üyesi Cevriye ALTINTAŞ,2.Sınıf,3.0,,bilgisayar mühendisliği,zorunlu,Z,0.0
BLG-212,Algılama ve Veri Toplama,Dr. Öğr. Üyesi Burhan DUMAN,2.Sınıf,3.0,30.0,seçimlik,seçimlik,S,0.0
BLG-222,Sanal ve Artırılmış Gerçeklik,Doç. Dr. Ahmet Ali SÜZEN,2.Sınıf,3.0,30.0,seçimlik,seçimlik,S,0.0
BLG-226,Almanca II,Öğretim Görevlisi Erdal ÖRDEK,2.Sınıf,2.0,10.0,seçimlik,seçimlik,S 1,0.0
BLG-230,İngilizce Konuşma Becerileri,Doç. Dr. Serap ERGÜN,2.Sınıf,2.0,40.0,seçimlik,seçimlik,S 1,0.0
BLG-232,Etkili ve Başarılı İletişim,Doç. Dr. Esra VONA KURT,2.Sınıf,2.0,40.0,seçimlik,seçimlik,S 1,0.0
BLG-234,Doğal Dil İşleme,Dr. Öğr. Üyesi Gamzepelin AKSOY,2.Sınıf,3.0,30.0,seçimlik,seçimlik,S,0.0
ING-204,Mesleki Yabancı Dil II,Doç. Dr. Serap ERGÜN,2.Sınıf,2.0,,bilgisayar mühendisliği,zorunlu,Z,0.0
MTB-008,Sayısal Çözümleme,Prof. Dr. Gözde ÖZKAN TÜKEL,2.Sınıf,2.0,,bilgisayar mühendisliği,zorunlu,Z,0.0
MTB-010,Olasılık ve İstatistik,Doç. Dr. Sinan UĞUZ,2.Sınıf,3.0,,bilgisayar mühendisliği,zorunlu,Z,0.0
UOS-802,Üniversite Ortak Seçmeli II,Öğrenciler Seçecekler,2.Sınıf,2.0,,bilgisayar mühendisliği,zorunlu,Z,0.0
BLG-224,Sayısal Sistem Tasarımı,Doç. Dr. Kıyas KAYAALP,2.Sınıf,3.0,,bilgisayar mühendisliği,zorunlu,Z,0.0
BLG-224-LAB,Sayısal Sistem Tasarımı (A Grubu) (Laboratuvar),Arş. Gör. Hüseyin Furkan ZENGİN,2.Sınıf-A,1.0,,bilgisayar mühendisliği,lab,L,1.0
BLG-224-LAB,Sayısal Sistem Tasarımı (B Grubu) (Laboratuvar),Arş. Gör. Hüseyin Furkan ZENGİN,2.Sınıf-B,1.0,,bilgisayar mühendisliği,lab,L,1.0
